500 1 1
62 2387 3256 68 
12 118 1372 86 
83 648 2101 41 
48 1980 3050 93 
9 1002 1129 81 
47 4526 5278 14 
50 3231 5445 35 
10 241 3394 45 
61 3376 6464 20 
27 3823 4789 32 
11 3953 8032 92 
96 2166 2319 7 
37 1224 4989 61 
45 4059 5422 29 
65 2019 5673 31 
85 2826 5473 39 
91 1696 4277 35 
24 4926 5644 84 
35 1054 5610 61 
41 3750 4040 9 
28 3202 7400 27 
71 4911 8823 83 
97 1091 1951 13 
62 1985 3142 35 
98 2813 4568 73 
71 4313 5457 45 
5 1357 5012 70 
71 1500 2620 86 
89 4725 9512 96 
35 2198 4593 66 
19 500 3857 88 
38 2754 3902 86 
22 718 2791 20 
99 1495 5912 14 
65 4156 5471 42 
31 4755 9351 54 
9 3348 8267 59 
69 3445 3777 85 
81 764 3088 90 
17 2851 5274 86 
90 1829 6181 3 
63 4290 7306 84 
15 4510 6387 11 
1 4712 8986 50 
15 3940 5215 78 
64 4188 8496 46 
61 2262 7039 36 
17 2905 6109 10 
56 452 4278 96 
74 4342 7831 81 
93 1045 4322 76 
81 4106 4530 72 
62 1633 1916 16 
43 1895 3878 24 
36 2169 5204 52 
72 3925 5892 81 
47 2981 6551 32 
62 733 1404 53 
47 2630 5131 64 
18 3451 6236 59 
33 3851 8413 1 
57 908 3894 75 
73 1315 4550 8 
32 2671 3122 59 
3 2798 2814 1 
1 10 463 12 
99 3872 6752 61 
79 3572 4105 90 
67 4188 6293 13 
56 310 4223 66 
20 1001 2670 16 
42 1608 5056 86 
66 1588 4075 22 
67 1601 6053 32 
62 3189 3786 37 
70 4838 8132 51 
17 2759 5172 7 
58 2049 3634 33 
48 3855 8611 98 
57 2781 6476 84 
16 2779 7669 7 
8 3418 7904 33 
70 4722 7182 25 
50 4098 4959 54 
64 1234 5787 49 
88 728 828 90 
28 2115 2185 68 
26 889 1620 84 
76 3063 4986 63 
63 4475 9469 56 
16 4885 8106 35 
91 1360 6436 18 
32 3397 3547 48 
19 1347 5386 28 
69 1655 4263 92 
61 2878 6518 46 
15 540 3897 17 
78 266 1530 81 
69 78 2778 2 
63 3243 4126 25 
59 4284 5517 80 
26 555 950 15 
43 2522 5485 79 
17 2249 4619 32 
44 1449 4997 29 
94 116 2851 93 
34 4104 4571 46 
54 4098 6711 49 
35 3677 3968 14 
33 4925 5792 55 
24 2892 7017 24 
75 1751 3094 21 
10 3074 7484 47 
61 3665 5001 92 
86 2157 6079 45 
74 10 4853 70 
36 1311 2545 13 
98 4900 5511 16 
83 477 2316 26 
1 4676 4906 79 
81 741 5565 21 
92 2981 7881 68 
40 114 1811 100 
2 3522 7079 78 
67 2407 3263 71 
58 3451 7283 98 
60 1821 2332 59 
57 1369 6032 70 
29 661 3650 65 
7 1646 3178 30 
54 499 2143 33 
54 739 1982 43 
28 1701 4886 81 
93 2996 4880 68 
32 2941 7321 18 
97 4667 8705 68 
50 4468 5318 18 
68 2976 6015 69 
91 2996 6474 54 
45 4433 6360 37 
24 3961 4051 52 
57 3093 6326 42 
82 3825 4979 86 
58 4738 7704 11 
26 4019 4954 13 
75 2293 3383 38 
20 262 5078 46 
73 3772 7216 36 
20 2699 7039 53 
85 2896 3375 17 
99 2689 3407 5 
30 3079 7659 31 
50 4051 7046 93 
89 1412 4670 100 
77 4955 9664 60 
39 2955 3296 66 
52 387 4868 70 
12 3501 5813 32 
21 208 1660 49 
24 282 4990 73 
7 1896 2777 95 
11 1934 1955 39 
34 3434 6825 34 
6 4661 4819 57 
36 1082 5918 88 
31 2467 7000 90 
29 4005 8118 8 
76 898 4117 39 
62 2887 7266 6 
11 3946 4096 29 
14 4687 7494 89 
90 172 3938 38 
52 4002 7364 33 
98 3406 5685 70 
19 965 5636 52 
37 1832 3946 32 
46 415 776 68 
87 343 2997 94 
38 2669 7425 91 
55 2257 7116 15 
70 2732 6192 37 
3 3741 4162 98 
89 3836 4852 76 
39 303 1007 4 
77 3799 7601 70 
3 2618 5308 42 
43 1417 2298 83 
20 32 1472 10 
37 4914 8760 89 
78 1960 2348 46 
44 2814 7808 97 
1 216 5162 69 
26 4490 8209 1 
95 3305 5824 43 
17 173 4935 48 
69 3850 8710 82 
58 1420 4009 83 
10 720 1810 89 
43 2697 5943 39 
19 256 2802 96 
58 1770 4470 32 
62 448 1628 56 
40 3976 8933 78 
25 4513 7097 90 
51 579 2854 43 
48 3693 3979 50 
24 3909 6853 25 
41 276 3286 80 
75 1967 2110 37 
88 1329 1733 68 
61 4317 8146 69 
7 4151 5329 8 
89 430 1058 19 
23 3440 5923 64 
55 939 3894 82 
2 651 2366 33 
20 551 3778 23 
54 3546 7218 100 
45 3556 4254 73 
73 763 4268 4 
17 4937 8935 46 
91 3674 8395 76 
42 2229 2688 37 
62 3096 3853 42 
73 2781 7408 84 
32 528 4177 54 
59 1336 5402 79 
9 620 5044 81 
46 4662 9126 8 
73 3057 4885 44 
89 4490 5282 5 
85 1167 4993 39 
64 3433 4927 38 
9 2024 6866 30 
2 1672 5801 39 
48 2495 7514 24 
78 3078 7669 27 
13 3249 5657 59 
92 3340 3960 92 
14 438 890 65 
82 4666 5285 22 
60 319 3392 18 
56 3265 7754 15 
36 1726 3437 96 
40 1834 5304 85 
86 945 3742 32 
14 2554 5024 32 
39 299 3336 88 
91 1523 2882 59 
100 773 5809 54 
97 4490 8279 40 
90 4097 6673 84 
90 3875 8118 87 
33 1121 5349 94 
83 2027 3864 54 
4 1418 1937 80 
8 3203 7400 92 
92 4170 6158 43 
35 3036 5047 72 
48 3671 5061 75 
16 3422 7473 83 
87 2663 5247 66 
20 773 851 91 
91 3861 6428 36 
80 3194 6797 96 
51 3094 5247 14 
94 3006 4118 7 
35 2865 4217 85 
9 2160 4087 24 
70 3744 5057 10 
33 985 5521 6 
32 3125 5913 70 
78 2059 4996 57 
7 1974 2258 20 
46 3970 7068 12 
10 4128 4826 54 
30 2835 3142 74 
77 1365 1889 70 
71 1411 5252 46 
41 1384 4300 16 
83 571 1278 15 
98 3157 5561 88 
71 660 4491 59 
43 1297 6048 75 
